State; FIPS; County; pop; landAreakm2; waterAreakm2; totalAreakm2; lat; long
NJ;34031;Passaic;501,226;478.093;32.407;510.500;+41.033763°;–74.300308°
NJ;34033;Salem;66,083;859.614;104.713;964.327;+39.573828°;–75.357356°
NJ;34035;Somerset;323,444;781.693;7.883;789.576;+40.565522°;–74.619930°
NJ;34037;Sussex;149,265;1,344.239;43.327;1,387.567;+41.137424°;–74.691855°
NJ;34039;Union;536,499;266.393;6.595;272.988;+40.659871°;–74.308696°
NJ;34041;Warren;108,692;924.412;15.384;939.796;+40.853524°;–75.009542°
NM;35001;Bernalillo;662,564;3,006.531;16.471;3,023.002;+35.054002°;–106.669065°
NM;35003;Catron;3,725;17,932.274;14.194;17,946.468;+33.901814°;–108.392097°
NM;35005;Chaves;65,645;15,708.989;25.507;15,734.496;+33.361605°;–104.469837°
NM;35006;Cibola;27,213;11,757.199;5.830;11,763.029;+34.932050°;–108.000255°
NM;35007;Colfax;13,750;9,733.329;26.319;9,759.648;+36.612963°;–104.640126°
NM;35009;Curry;48,376;3,638.407;8.174;3,646.581;+34.572984°;–103.346055°
NM;35011;De Baca;2,022;6,015.567;29.160;6,044.726;+34.351429°;–104.401527°
NM;35013;Dona Ana;209,233;9,861.409;17.790;9,879.198;+32.350912°;–106.832182°
NM;35015;Eddy;53,829;10,815.079;56.453;10,871.532;+32.457858°;–104.306471°
NM;35017;Grant;29,514;10,260.562;15.350;10,275.911;+32.732087°;–108.381504°
NM;35019;Guadalupe;4,687;7,848.912;2.888;7,851.800;+34.869782°;–104.784968°
NM;35021;Harding;695;5,504.869;1.154;5,506.023;+35.863152°;–103.829931°
NM;35023;Hidalgo;4,894;8,901.430;23.652;8,925.082;+31.899658°;–108.745729°
NM;35025;Lea;64,727;11,372.460;8.469;11,380.929;+32.795687°;–103.413271°
NM;35027;Lincoln;20,497;12,512.468;0.564;12,513.032;+33.740941°;–105.449083°
NM;35028;Los Alamos;17,950;282.740;0.230;282.970;+35.870047°;–106.307968°
NM;35029;Luna;25,095;7,679.802;0.432;7,680.234;+32.184482°;–107.746639°
NM;35031;McKinley;71,492;14,114.941;14.161;14,129.101;+35.573732°;–108.255307°
NM;35033;Mora;4,881;5,001.977;6.079;5,008.056;+35.982841°;–104.921898°
NM;35035;Otero;63,797;17,128.132;37.019;17,165.151;+32.588776°;–105.781079°
NM;35037;Quay;9,041;7,444.530;18.735;7,463.265;+35.107018°;–103.548071°
NM;35039;Rio Arriba;40,246;15,179.497;91.460;15,270.957;+36.509669°;–106.693983°
NM;35041;Roosevelt;19,846;6,338.817;18.704;6,357.521;+34.021457°;–103.482725°
NM;35043;Sandoval;131,561;9,610.540;13.708;9,624.248;+35.685073°;–106.882618°
